,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,"oAD 42 (AD 01) FWD
500","oAD 43 (AD 01) REV
1500","oAD 44 (AD 01) FWD
3000","oAD 45 (AD 01) REV
3500","oAD 46 (AD 01) FWD
3500","oAD 47 (AD 01) REV
500","oAD 48 (pDisCoTune) FWD
3000","oAD 49 (pDisCoTune) REV
3000","oAD 50 (pDisCoTune) FWD
3500","oAD 51 (pDisCoTune) REV
3500","oAD 52 (RBS-ProtK) FWD
500","oAD 53 (RBS-ProtK) REV
500","oAD 54 (AD 01) FWD
500","oAD 55 (AD 01) REV
500","oAD 56 (PhoA) FWD
500","oAD 57 (PhoA) REV
500","oAD 58 (AD 01/02) FWD
2500","oAD 59 (AD 01) REV
1500","oAD 60 (AD 01) FWD
1500","oAD 61 (AD 01) REV
500","oAD 62 (AD 01) REV
500","oAD 63 (DsbC) FWD
3000","oAD 64 (DsbC) REV
1500","oAD 65 (RBS-ProtK) FWD
2000"
B,"oAD 66 (RBS-ProtK) REV
2000","oAD 67 (Linker-MCP4) FWD
2000","oAD 68 (Linker-MCP4) REV
2500","oAD 69 (AD 01) REV
1000","oAD 70 (AD 01) REV
500","oAD 71 (Linker-MCP4) FWD
500","oAD 72 (phoA) FWD
500","oAD 73 (phoA) REV
500","oAD 73 (AD 02) REV
1500","oAD 74 (AD 01) FWD
1000","oAD 75 (AD 01) REV
500","oAD 76 (AD 02) FWD
500","oAD 77 (AD 02) REV
1500","oAD 78 (PhoA) FWD
1500","oAD 79 (PhoA) REV
1500","oAD 80 (AD 01) FWD
1000","oAD 81 (AD 01) REV
2000","oAD 82 (AD 02) FWD
2000","oAD 83 (DsbC) REV
500","oAD 84 (Linker-MCP4) REV
500","oAD 85 (AD 01) FWD
500","oAD 86 (AD 01) REV
500","oAD 87 (AD 01) FWD
500","oAD 88 (AD 01) REV
1000"
C,"oAD 89 (AD 02) FWD
1000","oAD 90 (DsbC) REV
500","oAD 91 (AD 01) FWD
1000","oAD 92 (Linker-MCP4) REV
1000","oAD 93 (pDisCoTune) FWD
1000","oAD 94 (pDisCoTune) REV
1000","oAD 105 (AD 01) FWD
500","oAD 106 (AD 01) REV
500","oAD 107 (AppA) FWD
500","oAD 108 (AppA) REV
500","oAD 109 (AD 01) REV
500","oAD 110 (AppA) FWD
500","oAD 111 (AppA) REV
2000","oAD 112 (MCP4) FWD
2000","oAD 113 (Ad 02) REV
1500","oAD 114 (AppA) FWD
1500","oAD 115 (MCP4) REV
500","oAD 116 (AD 02) REV
500","oAD 117 (AppA) FWD
500","oAD 118 (AppA) REV
500","oAD 119 (pUC19) FWD
500","oAD 120 (pUC19) REV
500",,
D,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
